chat_id,msg_idx,window_text,label
gen_330,5,"origen Av. Providencia 1256, Viña del Mar / ida y vuelta / destino Baquedano 2441, Concepción / somos 40 / hora 17:30 / fecha 21 de mayo de 2026 👋",Cotización generada
pot_483,2,buenas 👋 mi correo es juan17@outlook.com!!,Potencial cliente
cot_571,2,ida y vuelta somos 2,Cotizando
pot_436,3,buenas,Potencial cliente
cot_476,4,hola! / fecha 26 de junio de 2026 / somos 5 👍,Cotizando
gen_265,2,"Origen av. san martín 987, antofagasta somos 25 fecha 22/09/2025 destino los carrera 745, valparaíso ida y vuelta hora 18:00 maletas grandes",Cotización generada
cot_370,1,"buenas origen Av. Providencia 275, La Serena destino Av. Kennedy 325, Valparaíso somos 30 👋",Cotizando
cot_12,4,IDA Y VUELTA | SOMOS 20 | ME AYUDAN CON LA COTIZACIÓN 🙌,Cotizando
gen_327,3,"origen O'Higgins 349, Rancagua / hora 17:00 / somos 20 / ida y vuelta / destino Av. San Martín 252, Santiago / fecha 30/06/2025",Cotización generada
cot_411,2,BUENAS NOCHES - FECHA 09/10/2026 - SOMOS 15,Cotizando
pot_428,0,BUENAS NOCHES / MI NOMBRE ES DANIEL,Potencial cliente
gen_186,1,"origen O'Higgins 1510, Concepción hora 19:15 somos 2 fecha 31 de enero de 2026 ida y vuelta destino Av. Providencia 1089, Temuco maletas grandes 👋",Cotización generada
cot_528,2,fecha 06 de abril de 2026 ; somos 6 👍,Cotizando
cot_297,1,"Origen baquedano 197, concepción - destino alameda 1583, temuco 👍.",Cotizando
pot_66,2,buenos días ; mi nombre es Ana,Potencial cliente
gen_376,2,"solo ida / destino Alameda 1991, Antofagasta / origen Av. San Martín 659, Antofagasta / hora 07:00 / fecha 25/12/2025 / somos 30",Cotización generada
pot_102,3,buenas tardes / me gustaría cotizar? 👋,Potencial cliente
cot_104,4,"QUÉ TAL ORIGEN AV. KENNEDY 1826, LA SERENA DESTINO AV. KENNEDY 1842, LA SERENA SOMOS 10 ME AYUDAN CON LA COTIZACIÓN 😊",Cotizando
gen_401,3,"fecha 07/07/2025 hora 18:45 somos 8 destino Av. Kennedy 1874, Viña del Mar origen Av. Perú 1115, Rancagua ida y vuelta",Cotización generada
cot_260,4,"origen Baquedano 623, La Serena ; fecha 10/04/2026",Cotizando
pot_163,2,Qué tal / hay cupos? 🙌,Potencial cliente
gen_89,0,"Fecha 20 de octubre de 2026 ida y vuelta origen o'higgins 887, rancagua somos 25 hora 12:15 destino los carrera 1712, valparaíso con aire acondicionado",Cotización generada
pot_458,2,buenos días | mi correo es valentina@yahoo.com,Potencial cliente
gen_400,4,"Destino baquedano 1617, rancagua / somos 6 / fecha 09/05/2025 / ida y vuelta / hora 17:30 / origen alameda 1535, valparaíso.",Cotización generada
gen_280,3,"destino Av. Kennedy 691, Concepción / fecha 03/11/2026 / somos 6 / hora 17:00 / ida y vuelta / origen O'Higgins 1530, Santiago!!",Cotización generada
pot_134,2,buenas tienen disponibilidad?,Potencial cliente
pot_37,3,Buenas noches mi nombre es carla,Potencial cliente
pot_364,0,Buenas noches me gustaría cotizar?,Potencial cliente
pot_558,0,buenas noches tienen disponibilidad? 👍 mi correo es daniel@gmail.com,Potencial cliente
cot_453,3,"origen Av. San Martín 523, Viña del Mar | destino Av. Providencia 1209, La Serena",Cotizando
gen_68,5,"solo ida ; hora 20:00 ; destino Baquedano 225, Viña del Mar ; origen Av. San Martín 248, La Serena ; somos 20 ; fecha 23/12/2026 👋",Cotización generada
pot_198,1,buenas ; mi nombre es Miguel,Potencial cliente
gen_343,2,"ida y vuelta ; somos 1 ; origen Av. Perú 1736, Temuco ; destino O'Higgins 884, Viña del Mar ; hora 07:30 ; fecha 21/02/2026 ; dos sillas para niños",Cotización generada
cot_426,4,"ORIGEN O'HIGGINS 2104, SANTIAGO | DESTINO AV. PERÚ 39, CONCEPCIÓN 😊",Cotizando
gen_543,5,"Origen av. san martín 510, concepción ; hora 19:00 ; somos 10 ; fecha 14 de agosto de 2025 ; destino alameda 431, valparaíso ; solo ida 👋",Cotización generada
pot_425,0,buenas noches / me pueden orientar? 👋 / mi correo es ana@yahoo.com,Potencial cliente
pot_62,0,buenas noches / mi nombre es Juan / RUT 18.531.730-3,Potencial cliente
pot_48,1,buenas tardes / tienen disponibilidad? 😊 / mi correo es miguel@yahoo.com,Potencial cliente
cot_493,1,"Origen av. san martín 1266, la serena destino baquedano 2047, valparaíso somos 10 me ayudan con la cotización",Cotizando
gen_461,0,"fecha 14/12/2026 - origen Los Carrera 433, Antofagasta - destino Alameda 716, Rancagua - hora 17:45 - somos 30 - solo ida",Cotización generada
gen_212,0,"ida y vuelta / somos 25 / hora 09:00 / origen Av. Providencia 1917, Temuco / fecha 03 de mayo de 2025 / destino O'Higgins 2367, Antofagasta 😊",Cotización generada
pot_202,3,buenas ; mi correo es ana@hotmail.com,Potencial cliente
pot_0,2,holaaa mi nombre es María mi correo es maría38@gmail.com,Potencial cliente
cot_261,0,"origen Baquedano 1265, Antofagasta - fecha 22/05/2025 🙌",Cotizando
pot_226,3,Buenos días 🙌.,Potencial cliente
cot_542,3,"origen Los Carrera 701, Antofagasta fecha 11 de noviembre de 2026 👍",Cotizando
gen_515,4,"hora 12:15 ; somos 10 ; origen O'Higgins 2412, Antofagasta ; ida y vuelta ; destino Av. Kennedy 1193, Rancagua ; fecha 17/09/2026 ; con aire acondicionado",Cotización generada
cot_574,1,"buenas tardes / origen Av. Perú 1150, Rancagua / destino Av. Providencia 2211, Temuco / me ayudan con la cotización 🙌",Cotizando
pot_487,0,Buenas - me interesa el servicio?,Potencial cliente
cot_37,3,"Origen av. perú 647, rancagua destino av. kennedy 919, rancagua somos 2 me ayudan con la cotización 👍",Cotizando
cot_436,2,"origen Av. San Martín 1917, La Serena | destino Av. Perú 222, Concepción | somos 15",Cotizando
cot_557,2,"destino Av. Kennedy 732, Rancagua ; hora 12:45 👍",Cotizando
cot_273,1,hola! / ida y vuelta / somos 8.,Cotizando
cot_484,0,"origen Baquedano 2261, La Serena - destino O'Higgins 865, Temuco 😊!",Cotizando
gen_104,2,"origen Baquedano 1532, Viña del Mar / somos 3 / hora 10:15 / destino O'Higgins 1983, Concepción / ida y vuelta / fecha 08/02/2025 / maletas grandes!!",Cotización generada
pot_528,0,qué tal / me pueden orientar? / mi correo es carla@yahoo.com,Potencial cliente
cot_404,0,fecha 06 de junio de 2025 ; somos 3 👍.,Cotizando
pot_375,1,hola,Potencial cliente
cot_322,0,"origen Av. Providencia 1870, Rancagua ; fecha 26 de abril de 2026 ; me ayudan con la cotización",Cotizando
gen_140,4,"Origen av. providencia 1174, santiago fecha 09 de noviembre de 2025 somos 8 hora 16:45 solo ida destino alameda 577, valparaíso con factura 😊...",Cotización generada
gen_582,0,"Origen av. kennedy 105, antofagasta hora 19:45 somos 1 fecha 07/06/2026 destino los carrera 885, rancagua ida y vuelta",Cotización generada
pot_199,0,buenas tardes necesito información? mi correo es camila@gmail.com,Potencial cliente
cot_170,3,"destino O'Higgins 732, Valparaíso | hora 06:45 🙌...",Cotizando
gen_376,2,"Somos 1 - fecha 06/05/2025 - destino alameda 2335, concepción - hora 17:30 - origen baquedano 595, concepción - solo ida - con factura 👋",Cotización generada
pot_468,2,hola tienen disponibilidad?,Potencial cliente
pot_581,2,Holaaa mi correo es valentina@yahoo.com,Potencial cliente
cot_205,3,Buenas | solo ida | somos 2,Cotizando
cot_426,3,"origen O'Higgins 2042, Rancagua ; fecha 15/04/2025 ; me ayudan con la cotización",Cotizando
pot_471,3,buenas tardes | tienen disponibilidad? 👋,Potencial cliente
gen_79,0,"solo ida ; hora 15:15 ; destino Av. Providencia 468, Concepción ; somos 40 ; origen Baquedano 281, Concepción ; fecha 23/08/2025...",Cotización generada
cot_463,1,"origen Av. San Martín 1409, Antofagasta destino Av. Kennedy 193, Concepción somos 10 me ayudan con la cotización 👍",Cotizando
pot_538,3,Buenas noches - mi nombre es juan.,Potencial cliente
cot_374,3,fecha 20/03/2025 somos 10,Cotizando
pot_176,3,Hola / mi nombre es miguel / mi correo es miguel78@gmail.com,Potencial cliente
gen_492,0,"destino Av. Perú 1393, La Serena hora 09:30 fecha 13/10/2026 origen Av. Providencia 1759, Antofagasta ida y vuelta somos 5",Cotización generada
gen_554,3,"destino Los Carrera 329, Antofagasta ; ida y vuelta ; origen Av. Kennedy 1052, Temuco ; somos 12 ; fecha 18/05/2025 ; hora 21:00 🙌",Cotización generada
pot_492,0,qué tal | me pueden orientar? 😊!,Potencial cliente
pot_190,0,qué tal 😊 | mi correo es maría@yahoo.com...,Potencial cliente
gen_527,4,"ida y vuelta somos 40 destino Alameda 216, Santiago fecha 19 de febrero de 2025 hora 09:30 origen Av. Providencia 850, Temuco 👋",Cotización generada
pot_543,3,Buenas tardes 🙌,Potencial cliente
pot_539,0,buenas noches!!,Potencial cliente
cot_308,1,"origen Av. San Martín 216, Valparaíso destino Baquedano 2055, La Serena somos 50 👋",Cotizando
gen_155,4,"somos 2 ; fecha 31 de mayo de 2026 ; solo ida ; destino Alameda 1159, La Serena ; origen Av. Perú 27, Viña del Mar ; hora 14:45 👍...",Cotización generada
pot_109,2,buenas ; me gustaría cotizar? ; mi correo es luis77@outlook.com,Potencial cliente
gen_108,3,"solo ida fecha 11/09/2025 destino Av. Providencia 495, Viña del Mar origen Av. Kennedy 2123, Viña del Mar somos 2 hora 10:45 con factura...",Cotización generada
gen_97,0,"IDA Y VUELTA HORA 19:00 DESTINO BAQUEDANO 444, VALPARAÍSO FECHA 25/10/2026 ORIGEN BAQUEDANO 828, CONCEPCIÓN SOMOS 30 DOS SILLAS PARA NIÑOS",Cotización generada
gen_568,0,"SOMOS 30 | IDA Y VUELTA | FECHA 17 DE MARZO DE 2025 | DESTINO ALAMEDA 1027, VALPARAÍSO | HORA 12:15 | ORIGEN AV. PERÚ 1776, TEMUCO | DOS SILLAS PARA NIÑOS",Cotización generada
cot_395,4,"origen Alameda 1535, Viña del Mar - destino Los Carrera 2211, Temuco - somos 1",Cotizando
gen_164,5,"IDA Y VUELTA HORA 21:15 FECHA 05/08/2026 DESTINO LOS CARRERA 824, VIÑA DEL MAR SOMOS 12 ORIGEN O'HIGGINS 1345, LA SERENA",Cotización generada
cot_138,0,"hola / origen Av. Providencia 1369, Viña del Mar / fecha 28/04/2025 / me ayudan con la cotización 👍!",Cotizando
gen_599,0,"SOLO IDA ; DESTINO AV. SAN MARTÍN 299, LA SERENA ; SOMOS 3 ; FECHA 03/10/2025 ; ORIGEN LOS CARRERA 2019, VALPARAÍSO ; HORA 10:15",Cotización generada
cot_304,3,FECHA 03/10/2025 | SOMOS 6,Cotizando
pot_510,0,BUENOS DÍAS / MI NOMBRE ES PEDRO / RUT 18.384.377-8,Potencial cliente
cot_399,2,"Hola origen av. providencia 859, valparaíso destino av. san martín 1482, antofagasta somos 3",Cotizando
pot_524,3,Buenas mi nombre es juan rut 14.205.600-k,Potencial cliente
cot_37,2,buenas tardes ; ida y vuelta ; somos 5 ; me ayudan con la cotización,Cotizando
pot_165,0,buenos días ; mi nombre es Jorge ; RUT 23.212.100-6,Potencial cliente
pot_178,3,hola ; atienden hoy? 👍 ; mi correo es camila@hotmail.com,Potencial cliente
pot_581,1,Buenas tardes me gustaría cotizar?,Potencial cliente
cot_563,4,"Qué tal - origen alameda 2178, rancagua - destino av. providencia 361, la serena - somos 15",Cotizando
gen_10,5,"Fecha 24/03/2026 ; origen o'higgins 2182, antofagasta ; hora 07:30 ; solo ida ; destino av. perú 672, viña del mar ; somos 5 ; maletas grandes 😊",Cotización generada
pot_464,2,buenas,Potencial cliente
gen_196,2,"hora 13:15 | somos 3 | origen Av. Perú 785, Rancagua | fecha 24/08/2025 | destino Baquedano 134, Santiago | ida y vuelta | con factura 👋",Cotización generada
gen_335,5,"origen Av. Perú 856, Antofagasta solo ida fecha 04/11/2025 hora 09:00 destino Av. Kennedy 90, La Serena somos 10",Cotización generada
cot_293,3,"hola! origen Av. Providencia 373, Concepción destino Los Carrera 421, Santiago somos 2 👍.",Cotizando
gen_278,1,"origen Av. San Martín 2151, La Serena - hora 06:45 - solo ida - fecha 02/02/2025 - somos 4 - destino O'Higgins 2020, La Serena 🙌",Cotización generada
pot_425,2,Hola tienen disponibilidad?,Potencial cliente
cot_434,2,"Qué tal origen av. perú 846, antofagasta fecha 14/12/2026",Cotizando
pot_464,1,hola | mi nombre es Luis,Potencial cliente
gen_360,1,"fecha 20 de diciembre de 2026 ; ida y vuelta ; hora 19:45 ; somos 30 ; origen Av. Kennedy 473, Antofagasta ; destino Los Carrera 2288, La Serena ; con aire acondicionado 😊",Cotización generada
pot_353,3,qué tal atienden hoy? 👋,Potencial cliente
cot_366,0,"origen Av. San Martín 321, Rancagua destino Av. Perú 1687, La Serena 🙌",Cotizando
pot_154,0,buenos días cómo lo hago? mi correo es valentina5@outlook.com,Potencial cliente
gen_335,1,"ORIGEN AV. SAN MARTÍN 108, ANTOFAGASTA SOMOS 15 FECHA 31/08/2025 SOLO IDA DESTINO AV. PROVIDENCIA 1463, ANTOFAGASTA HORA 16:45 😊",Cotización generada
gen_82,3,"Ida y vuelta / destino av. providencia 445, valparaíso / fecha 07/09/2025 / origen av. san martín 1814, rancagua / somos 50 / hora 13:45",Cotización generada
cot_478,1,"ORIGEN O'HIGGINS 296, TEMUCO DESTINO O'HIGGINS 11, TEMUCO SOMOS 5 ME AYUDAN CON LA COTIZACIÓN",Cotizando
cot_290,1,"origen Los Carrera 1215, Rancagua / fecha 18/05/2026 👍",Cotizando
pot_249,2,BUENOS DÍAS NECESITO INFORMACIÓN? 🙌,Potencial cliente
gen_329,1,"Hora 08:15 - somos 4 - origen av. kennedy 346, concepción - fecha 07/06/2026 - destino o'higgins 2158, antofagasta - ida y vuelta",Cotización generada
pot_385,0,qué tal,Potencial cliente
cot_562,1,FECHA 25 DE SEPTIEMBRE DE 2025 | SOMOS 4 | ME AYUDAN CON LA COTIZACIÓN,Cotizando
cot_107,0,"origen Los Carrera 2396, Rancagua - destino Alameda 2272, Antofagasta",Cotizando
gen_425,2,"hora 20:30 solo ida fecha 22/04/2026 origen O'Higgins 640, Rancagua somos 2 destino O'Higgins 1142, Antofagasta maletas grandes",Cotización generada
cot_321,3,"ORIGEN BAQUEDANO 2071, CONCEPCIÓN ; FECHA 11 DE SEPTIEMBRE DE 2025 🙌",Cotizando
gen_208,2,"origen Av. San Martín 2370, Concepción / hora 20:15 / somos 8 / destino O'Higgins 214, Valparaíso / fecha 27/10/2026 / ida y vuelta",Cotización generada
pot_437,0,holaaa mi nombre es Carla,Potencial cliente
gen_328,0,"hora 18:30 / somos 4 / origen Los Carrera 2091, Rancagua / fecha 13 de agosto de 2026 / solo ida / destino O'Higgins 1907, Valparaíso 👍...",Cotización generada
gen_510,3,"Destino baquedano 1353, viña del mar / somos 30 / fecha 28/11/2026 / origen av. providencia 532, temuco / hora 18:45 / solo ida 👍",Cotización generada
gen_131,4,"origen O'Higgins 2308, Valparaíso / somos 2 / destino Av. Kennedy 1032, Rancagua / fecha 07/07/2025 / ida y vuelta / hora 14:30 / dos sillas para niños",Cotización generada
cot_246,0,solo ida somos 6 👍,Cotizando
pot_97,0,Buenas.,Potencial cliente
cot_380,4,solo ida ; somos 30 ; me ayudan con la cotización 😊,Cotizando
gen_354,2,"Ida y vuelta somos 8 fecha 12 de mayo de 2025 destino av. perú 1179, rancagua origen av. san martín 722, santiago hora 18:30.",Cotización generada
pot_559,1,buenas tardes necesito información?,Potencial cliente
cot_290,1,"Origen alameda 1277, temuco fecha 09/07/2025 me ayudan con la cotización.",Cotizando
gen_579,5,"destino Av. San Martín 277, Antofagasta ; fecha 23 de mayo de 2025 ; somos 6 ; origen Los Carrera 2479, Valparaíso ; hora 08:00 ; ida y vuelta",Cotización generada
pot_448,2,holaaa me gustaría cotizar?,Potencial cliente
cot_4,3,"origen Av. San Martín 258, Concepción fecha 29/01/2025",Cotizando
pot_87,0,hola | mi nombre es Luis | RUT 11.370.320-4,Potencial cliente
cot_164,3,hola | ida y vuelta | somos 20 | me ayudan con la cotización 🙌,Cotizando
cot_59,2,ida y vuelta / somos 50.,Cotizando
cot_564,4,"origen Los Carrera 117, Temuco fecha 09/02/2025 🙌",Cotizando
pot_507,3,buenos días 😊,Potencial cliente
gen_298,0,"Hora 18:00 | somos 12 | destino o'higgins 372, viña del mar | ida y vuelta | fecha 07/03/2025 | origen av. kennedy 1944, temuco 👍!!",Cotización generada
pot_416,3,holaaa tienen disponibilidad? mi correo es luis@gmail.com!,Potencial cliente
pot_263,2,Hola ; mi nombre es luis ; rut 26.167.680-9 ; mi correo es luis@yahoo.com,Potencial cliente
gen_160,4,"origen Av. Kennedy 1963, Santiago hora 09:00 somos 40 solo ida fecha 24 de junio de 2025 destino O'Higgins 2100, Concepción",Cotización generada
gen_216,1,"destino Los Carrera 1885, Antofagasta fecha 18 de abril de 2026 somos 5 origen Av. Kennedy 1638, Temuco solo ida hora 19:30 maletas grandes",Cotización generada
pot_245,3,HOLA! / MI NOMBRE ES JUAN / RUT 11.882.979-K,Potencial cliente
pot_66,0,qué tal ; cómo lo hago? 😊,Potencial cliente
cot_540,2,buenas - ida y vuelta - somos 1 👍.,Cotizando
pot_410,0,hola ; atienden hoy? 🙌,Potencial cliente
cot_79,4,"holaaa / origen Av. Perú 2014, La Serena / fecha 10/11/2025!",Cotizando
pot_528,3,qué tal 🙌,Potencial cliente
cot_418,2,IDA Y VUELTA | SOMOS 4,Cotizando
pot_576,3,Buenas noches - me gustaría cotizar?.,Potencial cliente
pot_525,2,hola | mi nombre es Carla | RUT 24.386.738-7!!,Potencial cliente
cot_62,4,holaaa fecha 24/12/2026 somos 30 👋,Cotizando
gen_297,0,"fecha 02/11/2025 | hora 10:00 | somos 20 | destino Av. Perú 1941, Temuco | origen Av. Providencia 1688, Santiago | ida y vuelta | maletas grandes",Cotización generada
pot_307,0,Buenas tardes me gustaría cotizar? 👍 mi correo es ana@gmail.com,Potencial cliente
cot_140,2,"destino Av. Kennedy 338, Concepción / hora 19:30",Cotizando
pot_349,0,HOLA / MI NOMBRE ES CARLA.,Potencial cliente
cot_441,3,Fecha 16/10/2025 / somos 15,Cotizando
gen_138,5,"fecha 30/04/2026 ; hora 18:30 ; origen Alameda 644, Antofagasta ; destino Baquedano 557, Antofagasta ; solo ida ; somos 4",Cotización generada
gen_31,0,"solo ida | fecha 10/07/2025 | somos 2 | origen Baquedano 2390, Valparaíso | hora 10:15 | destino Alameda 51, Santiago 👍.",Cotización generada
cot_255,1,Qué tal solo ida somos 10 👋!!,Cotizando
pot_164,1,BUENOS DÍAS / ME INTERESA EL SERVICIO? 👍,Potencial cliente
cot_56,2,"origen Av. San Martín 1948, Valparaíso destino Av. Perú 1391, La Serena somos 12...",Cotizando
gen_386,2,"solo ida | destino Av. Kennedy 1195, Santiago | somos 40 | hora 17:15 | origen O'Higgins 156, Concepción | fecha 16/08/2026",Cotización generada
pot_571,2,holaaa ; cómo lo hago? 👍,Potencial cliente
pot_430,3,Buenas tardes 👍,Potencial cliente
pot_367,3,buenas tardes me ayudan con info? mi correo es pedro@gmail.com,Potencial cliente
pot_434,2,HOLA | MI NOMBRE ES CARLA | RUT 7.128.546-6.,Potencial cliente
pot_76,2,Hola ; mi nombre es miguel ; mi correo es miguel@yahoo.com,Potencial cliente
gen_113,0,"fecha 05/12/2026 / hora 11:15 / destino Alameda 783, Viña del Mar / somos 3 / solo ida / origen Av. Kennedy 2226, Santiago",Cotización generada
cot_529,4,"ORIGEN AV. KENNEDY 1613, CONCEPCIÓN / FECHA 11/10/2025",Cotizando
pot_135,3,buenas,Potencial cliente
gen_67,3,"hora 22:30 / somos 3 / destino Baquedano 1958, Temuco / fecha 29/11/2025 / ida y vuelta / origen O'Higgins 2235, Rancagua.",Cotización generada
cot_145,4,"destino Av. Providencia 1375, La Serena hora 06:00",Cotizando
gen_530,5,"Somos 1 / fecha 10/06/2026 / origen av. perú 2054, la serena / destino av. perú 821, viña del mar / hora 16:15 / solo ida 👍",Cotización generada
pot_96,3,holaaa | me interesa el servicio? 🙌,Potencial cliente
cot_533,2,IDA Y VUELTA ; SOMOS 25 ; ME AYUDAN CON LA COTIZACIÓN 👍,Cotizando
gen_481,5,"HORA 20:30 FECHA 23/04/2025 DESTINO AV. PROVIDENCIA 446, VIÑA DEL MAR SOMOS 4 IDA Y VUELTA ORIGEN AV. PERÚ 36, RANCAGUA MALETAS GRANDES 😊!!",Cotización generada
pot_47,1,Holaaa ; atienden hoy? 😊 ; mi correo es ana71@outlook.com,Potencial cliente
pot_267,1,buenas ; me pueden orientar? 👋!,Potencial cliente
gen_499,2,"FECHA 14/09/2026 / DESTINO AV. KENNEDY 1169, ANTOFAGASTA / SOLO IDA / SOMOS 6 / HORA 20:45 / ORIGEN LOS CARRERA 908, ANTOFAGASTA 🙌.",Cotización generada
gen_142,1,"somos 12 hora 13:30 destino Baquedano 2426, Antofagasta origen O'Higgins 2490, Viña del Mar ida y vuelta fecha 10/10/2025",Cotización generada
cot_34,1,"hola origen Av. Providencia 1894, Viña del Mar destino Av. San Martín 561, La Serena somos 4 👋...",Cotizando
pot_352,3,hola! | me ayudan con info? 👋,Potencial cliente
cot_155,4,"hola! | origen Alameda 2311, Antofagasta | destino Av. San Martín 2244, Viña del Mar",Cotizando
cot_32,2,"origen Av. San Martín 2419, Viña del Mar - destino Av. Kennedy 1504, Valparaíso",Cotizando
gen_68,3,"FECHA 02 DE ABRIL DE 2025 / DESTINO AV. PERÚ 230, VALPARAÍSO / SOMOS 15 / HORA 15:15 / IDA Y VUELTA / ORIGEN AV. PERÚ 37, ANTOFAGASTA 👋",Cotización generada
gen_276,5,"fecha 13/12/2025 | solo ida | hora 15:00 | destino Av. San Martín 2090, Concepción | origen Av. Providencia 787, Concepción | somos 6 👋.",Cotización generada
pot_202,0,buenas | mi nombre es Pedro,Potencial cliente
cot_585,0,"destino Av. Kennedy 362, La Serena ; hora 22:45 🙌",Cotizando
gen_444,0,"hora 18:15 | origen Av. Providencia 360, Santiago | ida y vuelta | somos 10 | fecha 11/08/2026 | destino Av. Perú 497, Temuco 👋.",Cotización generada
pot_216,2,Hola! me gustaría cotizar? 👍,Potencial cliente
gen_281,0,"Somos 10 ; hora 06:30 ; origen o'higgins 540, rancagua ; fecha 17/02/2026 ; destino av. providencia 296, la serena ; ida y vuelta 👋",Cotización generada
pot_49,3,BUENAS NOCHES 👍 / MI CORREO ES CARLA48@GMAIL.COM.,Potencial cliente
cot_238,3,FECHA 07 DE NOVIEMBRE DE 2025 SOMOS 15...,Cotizando
pot_512,0,Qué tal / me ayudan con info?,Potencial cliente
pot_403,0,Holaaa tienen disponibilidad? 👍!,Potencial cliente
pot_479,0,buenas / me ayudan con info? / mi correo es miguel@hotmail.com,Potencial cliente
gen_72,0,"destino Av. San Martín 2498, Viña del Mar - fecha 03 de diciembre de 2026 - somos 8 - ida y vuelta - hora 11:45 - origen Los Carrera 87, Viña del Mar 👍",Cotización generada
gen_102,3,"FECHA 04/05/2025 DESTINO BAQUEDANO 1914, CONCEPCIÓN SOMOS 6 ORIGEN ALAMEDA 2309, LA SERENA HORA 17:15 IDA Y VUELTA 🙌",Cotización generada
pot_556,1,qué tal necesito información? 😊,Potencial cliente
cot_400,2,"Destino av. kennedy 814, antofagasta - hora 13:00 - me ayudan con la cotización",Cotizando
cot_193,2,fecha 08/02/2025 / somos 8 / me ayudan con la cotización 😊,Cotizando
gen_252,5,"ida y vuelta hora 06:45 origen Av. Providencia 685, Santiago fecha 12 de septiembre de 2025 destino Av. San Martín 1769, Antofagasta somos 1!",Cotización generada
pot_493,1,hola! | me ayudan con info? 🙌 | mi correo es pedro@outlook.com,Potencial cliente
pot_42,2,buenas tardes,Potencial cliente
pot_460,3,holaaa mi nombre es Carla,Potencial cliente
